,English,French
803,santhagara membranous,santhagara membraneux
804,sanskritic clamouring,sanscrit clamant
805,ridiculous uneconomic,ridicule non rentable
806,externally,extérieurement
807,malasthana,Malasthana
808,telescopes commission,télescopes commission
809,unfinished,inachevé
810,feathering government,plumage gouvernement
811,forthright,franc
812,chinatowns prediction,quartiers chinois prédiction
813,mayurakshi,mayurakshi
814,hemoglobin tournament inaugurate,hémoglobine tournoi inaugurer
815,curvatures,courbures
816,dwaparayug trumpeters,dwaparayug trompettistes
817,fairground thatreason,champ de foire pour cette raison
818,systematic subjection,systématique sujétion
819,dissonance,dissonance
820,overturned,renversé
821,practicing,pratiquant
822,emboldened,enhardi
823,jnanamruth yudhishtra,jnanamruth Yudhishtra
824,aaryavarti desolating,aaryavarti désolant
825,measurably,mesurable
826,shivasukha,shivasukha
827,inhabitant,habitant
828,hippodrome redecorate,hippodrome redécorer
829,stringency,rigueur
830,birthnamed financialy possession,nom de naissance financièrement possession
831,quadrupled englisized irreverent,quadruplé englisisé irrévérencieux
832,revelatory,révélateur
833,incubation galvanised monotheist,incubation galvanisé monothéiste
834,chargeable,payant
835,jiyauddeen,jiyauddeen
836,wardathoan,Wardathoan
837,dnyanakand parashuram,dnyanakand parashuram
838,elaborates shantiparv,élabore Shantiparv
839,akabarabad,akabarabad
840,bureaucrat parenthood cinderella,bureaucrate parentalité Cendrillon
841,cautionary,de précaution
842,glamourdom,glamour
843,unexciting,peu passionnant
844,enunciates,énonce
845,postponing,report
846,documentsa ceremonial,documentsa cérémonial
847,landscapes readingall,paysages tout lire
848,capitulate brahmputra sankranthi,capituler brahmputra sankranthi
849,kinnarayya,kinnarayya
850,thirteenth,treizième
851,distillery,distillerie
852,inefficent gurumurthy,inefficace gouroumurthy
853,disconnect,déconnecter
854,informaion,informations
855,nutritious,nutritif
856,discharged kashmirian,déchargé cachemirien
857,fallacious,fallacieux
858,discipline geetanjali,discipline geetanjali
859,akabarnama,akabarnama
860,commenting rectifying,commenter rectifier
861,biomimetic,biomimétique
862,currencies gurumurthy,devises gouroumurthy
863,alimentary mechanisms,alimentaire mécanismes
864,inhibition prettiness,inhibition beauté
865,highground,haut niveau
866,interferes barricades marketeers,interfère barricades spécialistes du marketing
867,overstated,exagéré
868,despondent shatrughna,découragé shatrughna
869,insolation,insolation
870,inexorable broadcasts,inexorable émissions
871,tumbaknari,tumbaknari
872,decimating,décimer
873,breakdowns,pannes
874,sitaramaya elementary peculiarly,sitaramaya élémentaire particulièrement
875,unrepealed mutilation,non abrogé mutilation
876,midfielder government,milieu de terrain gouvernement
877,muktadhara boycotting,muktadhara boycotter
878,searchable usmanarjee capability,consultable usmanarjee capacité
879,shahenshah,Shahenshah
880,sunglasses,lunettes de soleil
881,trishyamuk,trishyamuk
882,everything,tout
883,smoothness,douceur
884,marketable,commercialisable
885,sonebhadra,sonebhadra
886,moralising,moralisant
887,thakurbadi voodooists denudation,Thakurbadi vaudous dénudation
888,guarantees,garanties
889,glossaries,glossaires
890,exhausting functioned,épuisant a fonctionné
891,confidance,confiance
892,reorganize,réorganiser
893,prvishtiao progressed,prvishtiao progressé
894,prophesies,prophétise
895,penetrates,pénètre
896,inducement sivacharya,incitation sivacharya
897,cultivated,cultivé
898,beachcroft dheepshika nagasvaram,plage dheepshika Nagasvaram
899,middlebury,Middlebury
900,reversible,réversible
901,evangelist,évangéliste
902,geriatrics,gériatrie
903,emissaries practioner motherless,émissaires praticien sans mère
904,nymphalids corrospond supervisor,nymphalides corrospondre superviseur
905,shilpagram,shilpagramme
906,livelihood coronation tirunagari,moyens de subsistance couronnement tirunagari
907,tiresomely,fatiguant
908,metroscape varahmihir,métroscape varahmihir
909,undeserved irrigation,immérité irrigation
910,worshipful bharatendu,vénérable bharatendu
911,prejudiced,partial
912,telecaster,télédiffuseur
913,classified,classifié
914,mendicants gigaparsec,mendiants gigaparsec
915,nativeland wheelchair,pays natal fauteuil roulant
916,epididymis,épididyme
917,downloader violinists,téléchargeur violonistes
918,jambavanth,jambavanth
919,dhramasala,dhramasala
920,complained scantiness,s'est plaint insuffisance
921,simplified,simplifié
922,formalised chargeable,formalisé payant
923,elementary gratifying compressed,élémentaire gratifiant comprimé
924,undeterred,sans se laisser décourager
925,annatoshon marketable,antoshhon commercialisable
926,distinctly,distinctement
927,vindicates,justifie
928,deprecated remodelled excellence,obsolète rénové excellence
929,unfamiliar separation antiseptic,inconnu séparation antiseptique
930,determined,déterminé
931,gradations,dégradés
932,dimorphism,dimorphisme
933,resolution repressive overthrown,résolution répressif renversé
934,antithetic,antithétique
935,forgivable encounters,pardonnable rencontres
936,assembling,assemblage
937,ganapuraka,ganapuraka
938,hailstones regulation,grêlons règlement
939,philippine,philippin
940,sarashwati,sarashwati
941,amrutdhara,amrutdhara
942,aahamadiya,aahamadiya
943,masatikkal,masatikkal
944,inveitable,incontournable
945,herrenvolk sagarmatha,homme sagarmatha
946,polyploidy consumable modernists,polyploïdie consommable modernistes
947,rajashthan,Rajashthan
948,combustion,combustion
949,empedocles pertaining embroidery,empédocle se rapportant broderie
950,contortion cleverness,contorsion habileté
951,durability onslaughts suggestion,durabilité assauts suggestion
952,popularize,populariser
953,reclinirlg,inclinable
954,silverware,argenterie
955,intermarry,se marier
956,railwaymen repressive,cheminots répressif
957,supporters,partisans
958,carnations sidelights,œillets feux de position
959,fastidious forgivable riboflavin,délicat pardonnable riboflavine
960,ironically,ironiquement
961,haptanesia jambavanth,haptanésie jambavanth
962,unparalled,sans précédent
963,appereared modernized,est apparu modernisé
964,mahamatras unpleasant,Mahamatras désagréable
965,rejoicings debentures,réjouissances débentures
966,alakananda,alakananda
967,mahavaraha,mahavaraha
968,rajputanas misbehaves,Rajputanas se comporte mal
969,charadhyay,charadhyay
970,inundation,inondation
971,spacecraft,vaisseau spatial
972,nymphalids,nymphalides
973,derogatory,désobligeant
974,descending incumbency,descendant titulaire
975,wikipiedea,wikipiedea
976,securities,titres
977,hurricanes glamourdom,ouragans glamour
978,kulottunga animations suzerainty,kulottunga animations suzeraineté
979,chancellor drishtidum recipients,chancelier Drishtidum destinataires
980,akbarabaad durationof,akbarabaad duréede
981,homozygote,homozygote
982,trafficked symbolized naharkatia,fait l'objet d'un trafic symbolisé naharkatia
983,emblematic,emblématique
984,vanquished replanting,vaincu replantation
985,jiyauddeen acquitting,jiyauddeen acquitter
986,shailabala vichitrita,Shailabala vichitrita
987,smoothened,lissé
988,analysinng,analyse
989,vidyaranya,vidyaranya
990,vulnerable,vulnérable
991,yajurvedas,yajurvédas
992,prabhupada dismissals promontory,prabhupada licenciements promontoire
993,allowances,allocations
994,trafficked preeminent,fait l'objet d'un trafic prééminent
995,deductions,déductions
996,billonaire,milliardaire
997,inflatable popularize,gonflable populariser
998,succumbing,succomber
999,intergenic,intergénique
1000,thousandth,millième
1001,priesthood,prêtrise
1002,exonerated,exonéré
1003,friendship,amitié
1004,precocious bhageerath,précoce Bhagerath
1005,portfolios adyabharat,portefeuilles adyabharat
1006,indefinate panacganga,indéfini panacganga
1007,childishly ramanayana,enfantinement ramanayana
1008,collisions,collisions
1009,customised,personnalisé
1010,succession,succession
1011,transistor pharmacist,transistor pharmacien
1012,patrolling,patrouiller
1013,collectors khengarpur overhauled,collectionneurs khengarpur révisé
1014,milestones,jalons
1015,implements,met en œuvre
1016,complaints premchendr brahmagana,plaintes premcendr brahmagana
1017,programmed,programmé
1018,semicolons chitrangad,points-virgules chitrangad
1019,filtrating,filtrage
1020,beneficial,avantageux
1021,chessboard,échiquier
1022,emendation,correction
1023,dhaulagiri possitione,dhaulagiri poste
1024,punctuated enatarfess,ponctué enatarfess
1025,barbecuing,faire un barbecue
1026,emasculate,émasculer
1027,pesticides,pesticides
1028,forgetting,oubli
1029,shaktibaan naithanial,shaktibaan naithanial
1030,demarcates observable,délimite observable
1031,prevailing,régnant
1032,ashvadhama,Ashvadhama
1033,fertilized,fécondé
1034,showcasing,mettant en valeur
1035,sufferance,souffrance
1036,detectable,détectable
1037,vociferous,bruyant
1038,crosswords,mots croisés
1039,sheshnaaga aaryavarti,Sheshnaaga aaryavarti
1040,hastinaput iridescent subjection,hastinaput iridescent sujétion
1041,congenital,congénital
1042,discounted unsociable,à prix réduit insociable
1043,workersand propulsion fishmonger,travailleurset propulsion poissonnier
1044,buttermilk,babeurre
1045,catalogued scrutinied expressing,catalogué examiné exprimer
1046,distraught motorcycle,éperdu moto
1047,backhanded muradhabad skylighter,équivoque muradhabad lucarne
1048,acceptance,acceptation
1049,simplified calculator,simplifié calculatrice
1050,somnathpur,somnathpur
1051,ideational rashbehary,idéal éruption cutanée
1052,intersting,intéressant
1053,aishwariya,aishwariya
1054,astronauts authorship,astronautes paternité
1055,analogical motionless transverse,analogique immobile transversal
1056,economicby,économiquepar
1057,watersheds,bassins versants
1058,ramcharita favourably,ramcharita favorablement
1059,kopanishad,kopanishad
1060,vaishnavvs,vaishnavvs
1061,origenated,originaire
1062,mesmerised upahnished,hypnotisé upahnished
1063,wardathoan hornblende taluqadars,Wardathoan hornblende taluqadars
1064,venugopala janasangya,venugopala Janasangya
1065,evangelize,évangéliser
1066,duplicates,doublons
1067,thulasidas teetotaler,thulasidas abstinent
1068,dissolving,dissolution
1069,maintainer mumtajgunj,responsable mamantajgunj
1070,trilithons,trilithons
1071,seeshmahal reshuffles,Seeshmahal remaniements
1072,connnected harmonious,connecté harmonieux
1073,chrysostom progressin,chrysostome progresser
1074,prejudiced gangalehre,partial gangalehre
1075,pejorative,péjoratif
1076,discreetly,discrètement
1077,uninfected,non infecté
1078,millennium,millénaire
1079,purchasing suspending,achat suspendre
1080,safdarjung,Safdarjung
1081,amarkoshid,amarkoshid
1082,smothering clamouring economicby,étouffant clamant économiquepar
1083,adjudicate,juger
1084,pranksters revivalist jenulabdin,farceurs revivaliste jénulabdine
1085,buddhistic,bouddhiste
1086,unbalanced,déséquilibré
1087,catalogues prospectus,catalogues prospectus
1088,karmayogin,karmayogin
1089,excretions timethough,excrétions le temps
1090,outrunning distraught,dépassement éperdu
1091,exhaustive tenderness,exhaustif tendresse
1092,billboards inequality,panneaux d'affichage inégalité
1093,grapefruit vigorously,pamplemousse vigoureusement
1094,monumental,monumental
1095,transpired platitudes quiescence,transpiré platitudes tranquillité
1096,lingayatas,lingayatas
1097,challenger partapgarh,challenger partapgarh
1098,marylebone,marylebone
1099,pradesikan encircling strightens,pradesikan encerclant renforce
1100,casablanca,casablanca
1101,diminutive empedocles culturally,diminutif empédocle culturellement
1102,figuration,figuration
1103,equalities infringing,égalités contrefaisant
1104,culturally,culturellement
1105,installing,installation
1106,imbalances,déséquilibres
1107,atmosphere,atmosphère
1108,ambassador brijbhasha,ambassadeur brijbhasha
1109,thirteenth predacious livelihood,treizième prédateur moyens de subsistance
1110,palanquins parliament,palanquins parlement
1111,aggregated settlement holidaying,agrégé règlement en vacances
1112,pratimaaon,pratimaaon
1113,excrescent,excroissant
1114,rectangles,rectangles
1115,rollicking vaishnavvs ashwathama,joyeux vaishnavvs Ashwathama
1116,musarabbas,Musarabbas
1117,tolkappiam,tolkappiam
1118,unfastened,détaché
1119,managerial attributes,gestion attributs
1120,assemblies,assemblées
1121,henceforth defecating,désormais déféquer
1122,ibnsinaoad insightful,ibnsinaoad perspicace
1123,inbreeding,consanguinité
1124,execration,exécration
1125,characters,personnages
1126,stabitlity fossilised,stabilité fossilisé
1127,videogames revelation indicatior,jeux vidéo révélation indicateur
1128,jahiruddin,jahiruddin
1129,meaningthe,ce qui signifie le
1130,betterment,amélioration
1131,vermillion inoculated,vermillon inoculé
1132,annotation gurmukiand,annotation gurmukiand
1133,apocryphal,apocryphe
1134,biographer rhapsodies peacefully,biographe rhapsodies pacifiquement
1135,reschedule,reprogrammer
1136,skirmishes unsociable,escarmouches insociable
1137,dimorphism embittered mobilizing,dimorphisme aigri mobiliser
1138,tattletale,commère
1139,firetrucks postponing,camions de pompiers report
1140,shilpagram crossovers,shilpagramme croisements
1141,christoper reflection,Christophe réflexion
1142,chitramani,chitramani
1143,projecting,en saillie
