,English,Hindi
613,cytologist abdicating,कोशिका विज्ञानी त्याग
614,sanskritum,संस्कृतम्
615,invariance,निश्चरता
616,offputting,अपमानजनक
617,sirajuddin,सिराजुद्दीन
618,complaints,शिकायतों
619,cultivated,खेती
620,convenient,सुविधाजनक
621,defaulters,बकाएदारों
622,contextual,प्रासंगिक
623,vociferous,मुखर
624,cultivator,कृषक
625,handicraft,हस्तशिल्प
626,decimetres,डेसीमीटर
627,subjection respectful chevaliers,अधीनता सम्मानजनक शिवालियर्स
628,consistent unlikeness,सुसंगत असमानता
629,unwithered meningitis,मुरझाया हुआ मस्तिष्कावरण शोथ
630,unexciting recognizes oarticular,उत्साहहीन पहचानता नेत्र संबंधी
631,furthering,आगे बढ़ाने
632,parenthood,पितृत्व
633,sunbathing,धूप सेंकने
634,epididimis percolator,एपिडीडिमिस टपकाने का साधन
635,sahityakar,साहित्यकार
636,stipulated,तय करना
637,faithfulwe,वफ़ादारहम
638,alcoholism,शराब
639,convincing,ठोस
640,reschedule obligatory,पुनर्निर्धारित अनिवार्य
641,infrequent straighten premchands,निराला सीधा प्रेमचंद
642,kunjipalat reshuffles,कुंजिपलाट फेरबदल
643,proverbial sheepishly,लौकिक स्वीकार
644,uttamchand,उत्तमचंद
645,corbelling,कॉर्बेलिंग
646,bandwidtha engagement,बैंडविड्था सगाई
647,modifiable,परिवर्तनीय
648,radiolinja handcuffed,रेडियोलिंजा हथकड़ी
649,patronised undertakes,को संरक्षण चलाती
650,presenting,प्रस्तुत करना
651,procession,जुलूस
652,wholesaler objections,थोक विक्रेता आपत्तियां
653,bottleneck,टोंटी
654,unenviable,अवांछनीय
655,profitably,सफलता से
656,supergenes vibrations,सुपरजीन कंपन
657,underneath sanskritic atomsphere,नीचे संस्कृत परमाणुमंडल
658,seasonally,मौसम के
659,yesteryear,पहल साल
660,attempting,प्रयास करने से
661,jagdishpur modernised,जगदीशपुर आधुनिकीकरण
662,smoothness discerning,चिकनाई विवेकी
663,persisting sensuality,निरंतर आ रही है कामुकता
664,nyayabhasa topography distortion,न्यायभासा तलरूप विरूपण
665,bhimbetaka,भीमबेटका
666,harnessing,काम में लाने से
667,accessible,पहुंच योग्य
668,secularism extinguish,धर्मनिरपेक्षता बुझा
669,telegraphs prosecutes grievously,तार विवरण पत्र उद्वेग सहित
670,compounded,चक्रवृद्धि
671,cognisable,संज्ञेय
672,dedication,समर्पण
673,positively,सकारात्मक
674,possession,कब्ज़ा
675,documented,दस्तावेज
676,malasthana,मलस्थान
677,ratnalinga indefinate,रत्नलिंग अनिश्चित
678,tunnelling,टनेलिंग
679,dissociate,अलग कर देना
680,foreshadow filmmakers sahityakar,पहिले से सूचित करना फिल्म निर्माताओं साहित्यकार
681,bandwidtha,बैंडविड्था
682,brhdarayan appetising ultimately,ब्रह्दारायण स्वादिष्ट अंत में
683,reorganize factsheets,पुनर्निर्माण करना तथ्य पत्रक
684,tiryagloka,तिर्यग्लोक
685,idealistic determines,आदर्शवादी निर्धारित करता है
686,byelection processing,उपचुनाव प्रसंस्करण
687,dedication unplugging,समर्पण अनप्लग
688,incarnated,अवतीर्ण
689,subbalaxmi,सुब्बालक्ष्मी
690,qualifiers,क्वालिफायर
691,qutubshahi,कुतुबशाही
692,mansarover typescript,मानसरोवर टाइपप्रति
693,destroying,नष्ट
694,benefitted,लाभ उठाया
695,nomination,नामांकन
696,palanquins,पालकी
697,allahahbad propagator addressing,अल्लाहाबाद प्रचारक को संबोधित
698,displacing publishers,डिसप्लेसिंग प्रकाशकों
699,impregnate,व्याप्त
700,convoluted diminutive,जटिल अल्पार्थक
701,persuation,प्रोत्साहन
702,labyrinths passionate,भूलभुलैया जुनूनी
703,inverarity,अपरिवर्तनशीलता
704,fullbright,पूरा उजाले से भरा हुआ
705,sidelights,साइडलाइट्स
706,chivalrous eliminator,उदार एलिमिनेटर
707,engineered,इंजीनियर
708,transcends biennially decrements,अतिक्रमण द्विवार्षिक घटता है
